original_weight,code,quantized_weight,absolute_error
-128,238,-128,0
-127,15,-127,0
-126,31,-126,0
-125,47,-124,1
-124,47,-124,0
-123,47,-124,1
-122,63,-120,2
-121,63,-120,1
-120,63,-120,0
-119,63,-120,1
-118,63,-120,2
-117,63,-120,3
-116,79,-112,4
-115,79,-112,3
-114,79,-112,2
-113,79,-112,1
-112,79,-112,0
-111,79,-112,1
-110,79,-112,2
-109,79,-112,3
-108,79,-112,4
-107,79,-112,5
-106,79,-112,6
-105,79,-112,7
-104,95,-96,8
-103,95,-96,7
-102,95,-96,6
-101,95,-96,5
-100,95,-96,4
-99,95,-96,3
-98,95,-96,2
-97,95,-96,1
-96,95,-96,0
-95,95,-96,1
-94,95,-96,2
-93,95,-96,3
-92,95,-96,4
-91,95,-96,5
-90,95,-96,6
-89,95,-96,7
-88,206,-80,8
-87,206,-80,7
-86,206,-80,6
-85,206,-80,5
-84,206,-80,4
-83,206,-80,3
-82,206,-80,2
-81,206,-80,1
-80,206,-80,0
-79,206,-80,1
-78,206,-80,2
-77,206,-80,3
-76,190,-72,4
-75,190,-72,3
-74,190,-72,2
-73,190,-72,1
-72,190,-72,0
-71,190,-72,1
-70,174,-68,2
-69,174,-68,1
-68,174,-68,0
-67,158,-66,1
-66,158,-66,0
-65,142,-65,0
-64,111,-64,0
-63,14,-63,0
-62,30,-62,0
-61,46,-60,1
-60,46,-60,0
-59,46,-60,1
-58,62,-56,2
-57,62,-56,1
-56,62,-56,0
-55,62,-56,1
-54,62,-56,2
-53,62,-56,3
-52,78,-48,4
-51,78,-48,3
-50,78,-48,2
-49,78,-48,1
-48,78,-48,0
-47,78,-48,1
-46,78,-48,2
-45,78,-48,3
-44,189,-40,4
-43,189,-40,3
-42,189,-40,2
-41,189,-40,1
-40,189,-40,0
-39,189,-40,1
-38,173,-36,2
-37,173,-36,1
-36,173,-36,0
-35,157,-34,1
-34,157,-34,0
-33,141,-33,0
-32,94,-32,0
-31,13,-31,0
-30,29,-30,0
-29,45,-28,1
-28,45,-28,0
-27,45,-28,1
-26,61,-24,2
-25,61,-24,1
-24,61,-24,0
-23,61,-24,1
-22,172,-20,2
-21,172,-20,1
-20,172,-20,0
-19,156,-18,1
-18,156,-18,0
-17,140,-17,0
-16,77,-16,0
-15,12,-15,0
-14,28,-14,0
-13,44,-12,1
-12,44,-12,0
-11,155,-10,1
-10,155,-10,0
-9,139,-9,0
-8,60,-8,0
-7,11,-7,0
-6,27,-6,0
-5,138,-5,0
-4,43,-4,0
-3,10,-3,0
-2,26,-2,0
-1,9,-1,0
0,0,0,0
1,24,1,0
2,41,2,0
3,1,3,0
4,17,4,0
5,2,5,0
6,18,6,0
7,56,7,0
8,34,8,0
9,3,9,0
10,19,10,0
11,19,10,1
12,35,12,0
13,35,12,1
14,73,14,0
15,72,15,0
16,51,16,0
17,4,17,0
18,20,18,0
19,20,18,1
20,36,20,0
21,36,20,1
22,36,20,2
23,52,24,1
24,52,24,0
25,52,24,1
26,52,24,2
27,90,28,1
28,90,28,0
29,90,28,1
30,89,30,0
31,88,31,0
32,68,32,0
33,5,33,0
34,21,34,0
35,21,34,1
36,37,36,0
37,37,36,1
38,37,36,2
39,53,40,1
40,53,40,0
41,53,40,1
42,53,40,2
43,53,40,3
44,53,40,4
45,69,48,3
46,69,48,2
47,69,48,1
48,69,48,0
49,69,48,1
50,69,48,2
51,69,48,3
52,69,48,4
53,107,56,3
54,107,56,2
55,107,56,1
56,107,56,0
57,107,56,1
58,107,56,2
59,106,60,1
60,106,60,0
61,106,60,1
62,105,62,0
63,104,63,0
64,85,64,0
65,6,65,0
66,22,66,0
67,22,66,1
68,38,68,0
69,38,68,1
70,38,68,2
71,54,72,1
72,54,72,0
73,54,72,1
74,54,72,2
75,54,72,3
76,54,72,4
77,70,80,3
78,70,80,2
79,70,80,1
80,70,80,0
81,70,80,1
82,70,80,2
83,70,80,3
84,70,80,4
85,70,80,5
86,70,80,6
87,70,80,7
88,70,80,8
89,86,96,7
90,86,96,6
91,86,96,5
92,86,96,4
93,86,96,3
94,86,96,2
95,86,96,1
96,86,96,0
97,86,96,1
98,86,96,2
99,86,96,3
100,86,96,4
101,86,96,5
102,86,96,6
103,86,96,7
104,86,96,8
105,124,112,7
106,124,112,6
107,124,112,5
108,124,112,4
109,124,112,3
110,124,112,2
111,124,112,1
112,124,112,0
113,124,112,1
114,124,112,2
115,124,112,3
116,124,112,4
117,123,120,3
118,123,120,2
119,123,120,1
120,123,120,0
121,123,120,1
122,123,120,2
123,122,124,1
124,122,124,0
125,122,124,1
126,121,126,0
127,120,127,0
