sample,layer,channel,original_acc,pot_acc,original_output,pot_output,absolute_error
0,0,0,1380,1380,127,127,0
0,0,1,797,797,83,83,0
0,0,2,-596,-596,-17,-17,0
0,0,3,-2514,-2514,-17,-17,0
0,0,4,-1552,-1552,-17,-17,0
0,0,5,-920,-920,-17,-17,0
0,0,6,2472,2472,127,127,0
0,0,7,2489,2489,127,127,0
0,0,8,1411,1411,127,127,0
0,0,9,-417,-417,-17,-17,0
0,0,10,-2365,-2365,-17,-17,0
0,0,11,-2363,-2363,-17,-17,0
0,0,12,-1251,-1251,-17,-17,0
0,0,13,716,716,73,73,0
0,0,14,2653,2653,127,127,0
0,0,15,1665,1665,127,127,0
0,1,0,-695,-695,-36,-36,0
0,1,1,322,322,27,27,0
0,1,2,169,169,18,18,0
0,1,3,16,16,8,8,0
1,0,0,363,363,29,29,0
1,0,1,132,132,0,0,0
1,0,2,-99,-99,-17,-17,0
1,0,3,-330,-330,-17,-17,0
1,0,4,-561,-561,-17,-17,0
1,0,5,-792,-792,-17,-17,0
1,0,6,852,852,90,90,0
1,0,7,621,621,61,61,0
1,0,8,390,390,32,32,0
1,0,9,159,159,3,3,0
1,0,10,-72,-72,-17,-17,0
1,0,11,-303,-303,-17,-17,0
1,0,12,-534,-534,-17,-17,0
1,0,13,-765,-765,-17,-17,0
1,0,14,879,879,93,93,0
1,0,15,648,648,64,64,0
1,1,0,103,103,14,14,0
1,1,1,-232,-232,-8,-8,0
1,1,2,-528,-528,-26,-26,0
1,1,3,-70,-70,3,3,0
2,0,0,-145,-145,-17,-17,0
2,0,1,-122,-122,-17,-17,0
2,0,2,-99,-99,-17,-17,0
2,0,3,-76,-76,-17,-17,0
2,0,4,-53,-53,-17,-17,0
2,0,5,-30,-30,-17,-17,0
2,0,6,-37,-37,-17,-17,0
2,0,7,-14,-14,-17,-17,0
2,0,8,9,9,-16,-16,0
2,0,9,32,32,-13,-13,0
2,0,10,55,55,-10,-10,0
2,0,11,78,78,-7,-7,0
2,0,12,101,101,-4,-4,0
2,0,13,124,124,-1,-1,0
2,0,14,117,117,-2,-2,0
2,0,15,140,140,1,1,0
2,1,0,-30,-30,5,5,0
2,1,1,93,93,13,13,0
2,1,2,21,21,8,8,0
2,1,3,66,66,11,11,0
3,0,0,-149,-149,-17,-17,0
3,0,1,-124,-124,-17,-17,0
3,0,2,-99,-99,-17,-17,0
3,0,3,-74,-74,-17,-17,0
3,0,4,-49,-49,-17,-17,0
3,0,5,-24,-24,-17,-17,0
3,0,6,-44,-44,-17,-17,0
3,0,7,-19,-19,-17,-17,0
3,0,8,6,6,-16,-16,0
3,0,9,31,31,-13,-13,0
3,0,10,56,56,-10,-10,0
3,0,11,81,81,-7,-7,0
3,0,12,106,106,-4,-4,0
3,0,13,131,131,0,0,0
3,0,14,111,111,-3,-3,0
3,0,15,136,136,0,0,0
3,1,0,-40,-40,4,4,0
3,1,1,98,98,13,13,0
3,1,2,28,28,9,9,0
3,1,3,75,75,12,12,0
4,0,0,-153,-153,-17,-17,0
4,0,1,-126,-126,-17,-17,0
4,0,2,-99,-99,-17,-17,0
4,0,3,-72,-72,-17,-17,0
4,0,4,-45,-45,-17,-17,0
4,0,5,-18,-18,-17,-17,0
4,0,6,-51,-51,-17,-17,0
4,0,7,-24,-24,-17,-17,0
4,0,8,3,3,-16,-16,0
4,0,9,30,30,-13,-13,0
4,0,10,57,57,-10,-10,0
4,0,11,84,84,-6,-6,0
4,0,12,111,111,-3,-3,0
4,0,13,138,138,0,0,0
4,0,14,105,105,-4,-4,0
4,0,15,132,132,0,0,0
4,1,0,-39,-39,5,5,0
4,1,1,97,97,13,13,0
4,1,2,25,25,9,9,0
4,1,3,83,83,12,12,0
5,0,0,-657,-657,-17,-17,0
5,0,1,-378,-378,-17,-17,0
5,0,2,-99,-99,-17,-17,0
5,0,3,180,180,6,6,0
5,0,4,459,459,41,41,0
5,0,5,738,738,75,75,0
5,0,6,-933,-933,-17,-17,0
5,0,7,-654,-654,-17,-17,0
5,0,8,-375,-375,-17,-17,0
5,0,9,-96,-96,-17,-17,0
5,0,10,183,183,6,6,0
5,0,11,462,462,41,41,0
5,0,12,741,741,76,76,0
5,0,13,1020,1020,111,111,0
5,0,14,-651,-651,-17,-17,0
5,0,15,-372,-372,-17,-17,0
5,1,0,-945,-945,-52,-52,0
5,1,1,1048,1048,73,73,0
5,1,2,480,480,37,37,0
5,1,3,367,367,30,30,0
6,0,0,40,40,-12,-12,0
6,0,1,-547,-547,-17,-17,0
6,0,2,2121,2121,127,127,0
6,0,3,-296,-296,-17,-17,0
6,0,4,-58,-58,-17,-17,0
6,0,5,-330,-330,-17,-17,0
6,0,6,448,448,39,39,0
6,0,7,-829,-829,-17,-17,0
6,0,8,-1671,-1671,-17,-17,0
6,0,9,847,847,89,89,0
6,0,10,1010,1010,109,109,0
6,0,11,-867,-867,-17,-17,0
6,0,12,811,811,85,85,0
6,0,13,-1696,-1696,-17,-17,0
6,0,14,957,957,103,103,0
6,0,15,325,325,24,24,0
6,1,0,1911,1911,127,127,0
6,1,1,659,659,48,48,0
