layer,index,original_weight,code,quantized_weight,absolute_error
0,0,-4,43,-4,0
0,1,3,1,3,0
0,2,-5,138,-5,0
0,3,2,41,2,0
0,4,-6,27,-6,0
0,5,1,24,1,0
0,6,-7,11,-7,0
0,7,0,0,0,0
0,8,7,56,7,0
0,9,-1,9,-1,0
0,10,6,18,6,0
0,11,-2,26,-2,0
0,12,5,2,5,0
0,13,-3,10,-3,0
0,14,4,17,4,0
0,15,-4,43,-4,0
0,16,-2,26,-2,0
0,17,5,2,5,0
0,18,-3,10,-3,0
0,19,4,17,4,0
0,20,-4,43,-4,0
0,21,3,1,3,0
0,22,-5,138,-5,0
0,23,2,41,2,0
0,24,-6,27,-6,0
0,25,1,24,1,0
0,26,-7,11,-7,0
0,27,0,0,0,0
0,28,7,56,7,0
0,29,-1,9,-1,0
0,30,6,18,6,0
0,31,-2,26,-2,0
0,32,0,0,0,0
0,33,7,56,7,0
0,34,-1,9,-1,0
0,35,6,18,6,0
0,36,-2,26,-2,0
0,37,5,2,5,0
0,38,-3,10,-3,0
0,39,4,17,4,0
0,40,-4,43,-4,0
0,41,3,1,3,0
0,42,-5,138,-5,0
0,43,2,41,2,0
0,44,-6,27,-6,0
0,45,1,24,1,0
0,46,-7,11,-7,0
0,47,0,0,0,0
0,48,2,41,2,0
0,49,-6,27,-6,0
0,50,1,24,1,0
0,51,-7,11,-7,0
0,52,0,0,0,0
0,53,7,56,7,0
0,54,-1,9,-1,0
0,55,6,18,6,0
0,56,-2,26,-2,0
0,57,5,2,5,0
0,58,-3,10,-3,0
0,59,4,17,4,0
0,60,-4,43,-4,0
0,61,3,1,3,0
0,62,-5,138,-5,0
0,63,2,41,2,0
0,64,4,17,4,0
0,65,-4,43,-4,0
0,66,3,1,3,0
0,67,-5,138,-5,0
0,68,2,41,2,0
0,69,-6,27,-6,0
0,70,1,24,1,0
0,71,-7,11,-7,0
0,72,0,0,0,0
0,73,7,56,7,0
0,74,-1,9,-1,0
0,75,6,18,6,0
0,76,-2,26,-2,0
0,77,5,2,5,0
0,78,-3,10,-3,0
0,79,4,17,4,0
0,80,6,18,6,0
0,81,-2,26,-2,0
0,82,5,2,5,0
0,83,-3,10,-3,0
0,84,4,17,4,0
0,85,-4,43,-4,0
0,86,3,1,3,0
0,87,-5,138,-5,0
0,88,2,41,2,0
0,89,-6,27,-6,0
0,90,1,24,1,0
0,91,-7,11,-7,0
